title,authors,first_year,publishers,pages,rating,popularity,availability,level,url
Sci Fi Channels Seeing Ear Theatre Volume 2,Sci Fi,2023,Veloce Publishing Ltd,144,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL9981945W
Sci-Fi,Jack Fennell,2019,"Peter Lang Publishing; Lang AG International Academic Publishers, Peter",248,,8.08,Metadata Only,Beginner,https://openlibrary.org/works/OL21352142W
Sci-fi tales,Pat Edwards; Wendy Body,1996,Longman,32,,14.06,Full Text Available,Beginner,https://openlibrary.org/works/OL19298385W
Sci-Fi and Fantasy Stories from 'the Sun' Illustrated,Edward Page Mitchell,2020,Independently Published,433,,20.18,Metadata Only,Intermediate,https://openlibrary.org/works/OL22013210W
Livewire Sci-Fi [pack 1],Brandon Robshaw; Basic Skills Agency Staff; Sandra Woodcock,2000,Hodder Arnold H&S,,,2.06,Metadata Only,Beginner,https://openlibrary.org/works/OL27778813W
Livewire Sci-Fi,Brandon Robshaw; Basic Skills Agency Staff,2000,Hodder & Stoughton Educational Division,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL27780449W
Livewire Sci Fi,,2001,Hodder & Stoughton Educational Division,,,2.02,Metadata Only,Beginner,https://openlibrary.org/works/OL27778155W
The Last Man,Mary Shelley,1826,Gray Rabbit Publishing; Classic Books,414,3.5,48.24,Full Text Available,Intermediate,https://openlibrary.org/works/OL450124W
Bridge Across the Stars: A Sci-Fi Bridge Anthology,Sci- Fi Bridge,2018,CreateSpace Independent Publishing Platform,468,,2.08,Metadata Only,Intermediate,https://openlibrary.org/works/OL19861589W
The Quantum Soul,Sci Fi Roundtable,2018,Rivenstone Management Inc.,234,,2.06,Metadata Only,Beginner,https://openlibrary.org/works/OL20182762W
Sci-fi womanthology,Forrest J. Ackerman; Pamela Keesey,2001,Sense of Wonder,372,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL39014356W
Sci-Fi,William Marshall,1981,"Henry Holt & Company, Inc.",,,12.08,Full Text Available,Beginner,https://openlibrary.org/works/OL19864433W
Tzv. SCI-FI,Arnošt Goldflam,1989,DILIA,26,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL2827269W
Steampunk Hex Map Paper,Sci-Fi Essentials,2019,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29938466W
Steampunk Aviator Sheet Music Paper,Sci-Fi Essentials,2019,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29861079W
Steampunk Musician Blank Sheet Music Paper,Sci-Fi Essentials,2019,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29786727W
Steampunk Composer Guitar Tab Paper,Sci-Fi Essentials,2019,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29811815W
The Time Machine,H. G. Wells,1895,Bookbyte Digital; Martin Claret,120,3.9292035,76.85,Full Text Available,Beginner,https://openlibrary.org/works/OL52267W
Sci-Fi One,Alfonso Borello,2019,Independently Published; Independently published,78,,4.0,Metadata Only,Beginner,https://openlibrary.org/works/OL30346149W
Sci-Fi,Various,2010,Golgotha Press,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL38181353W
Sci-Fi,Gareth Moore,2017,"O'Mara Books, Limited, Michael",64,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL21136846W
Sci-Fi Stepdad,Deborah Kahn; Chloe a Micah; Kristen Grammar,2020,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL30541663W
The arena,Brandon Robshaw,2000,Hodder Arnold H&S,,,12.0,Full Text Available,Beginner,https://openlibrary.org/works/OL27296253W
Thirteen Sci-Fi Stories,Paul Groves; Nigel Grimshaw,1979,Hodder Arnold H&S,92,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL27776601W
Feminist Sci-Fi,Osie Turner; Charlotte Perkins Gilman; Rokheya Shekhawat Hossein; Mary Bradley,2017,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29473081W
Sci-Fi Lullabies,Philip K. Dick; Tessa Dick,2024,Quoir,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL38396998W
Sci-Fi Geek,Marshall,2017,CreateSpace Independent Publishing Platform,130,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL41677837W
Classic sci-fi & fantasy models,,1996,Strange Light,128,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL19374295W
Sci-Fi Streetz,Jeff Carroll,2015,Hip Hop Comix N Flix,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL44164241W
Sci-Fi Junior High,Scott Seegert,2017,Bound to Stay Bound Books; Scholastic,311,5.0,38.05,Metadata Only,Beginner,https://openlibrary.org/works/OL20048039W
The Island of Dr. Moreau,H. G. Wells,1896,"Berkley Publishing; NORMA EDITORIAL, S.A.",168,3.6666667,54.01,Full Text Available,Beginner,https://openlibrary.org/works/OL381550W
Frankenstein or The Modern Prometheus,Mary Shelley,1818,Edicomunicación; Silver Burdett Press,240,3.9466019,77.85,Full Text Available,Beginner,https://openlibrary.org/works/OL450063W
Sci-Fi Bible,Olimpia Nera,2003,iUniverse,210,,4.0,Metadata Only,Beginner,https://openlibrary.org/works/OL8150947W
Not Sci-Fi,Mingyuan Dong,2023,"Dong, Mingyuan",,,6.0,Metadata Only,Beginner,https://openlibrary.org/works/OL37621348W
Sci-Fi,James Bell,1845,BFI Publishing,160,,2.04,Metadata Only,Beginner,https://openlibrary.org/works/OL20336339W
Sci-Fi and Fantasy Stories From 'The Sun',Edward Page Mitchell,2015,CreateSpace Independent Publishing Platform; Independently Published,360,,20.0,Metadata Only,Beginner,https://openlibrary.org/works/OL20921413W
The Hound of the Baskervilles,Arthur Conan Doyle,1900,"Worth Publishers, Incorporated; Capstone",206,3.9464285,59.53,Full Text Available,Beginner,https://openlibrary.org/works/OL262454W
Confessional Sci-Fi,Kirsten Kaschock,2017,,102,,2.02,Metadata Only,Beginner,https://openlibrary.org/works/OL19714682W
The Giver,Lois Lowry,1993,Turtleback; Bantam Books for Young Readers,200,4.0528054,79.24,Full Text Available,Beginner,https://openlibrary.org/works/OL1846076W
Sci-fi art,Stephen Holland,2009,Ilex,191,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL34729572W
50 Sci-Fi Classics,C. Dennis Moore,2013,CreateSpace Independent Publishing Platform,186,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL39786930W
Sci-Fi,Giordano Poloni,2018,"King Publishing, Laurence",99,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL21301904W
Sci-Fi,T. Garp,2016,CreateSpace Independent Publishing Platform,180,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL40274918W
A Wrinkle in Time,Madeleine L'Engle,1962,Puffin Books Penguin Random House UK; Listening Library,212,3.9390244,71.18,Full Text Available,Beginner,https://openlibrary.org/works/OL41495W
When the Sleeper Awakes,H. G. Wells,1899,McFarland; CreateSpace Independent Publishing Platform,278,3.6,48.98,Full Text Available,Beginner,https://openlibrary.org/works/OL52151W
Brave New World,Aldous Huxley,1932,Editores mexicanos unidos; Neal-Schuman publishing ,241,3.9638827,80.29,Full Text Available,Beginner,https://openlibrary.org/works/OL64365W
Flatland,Edwin Abbott Abbott; Abbott,1884,Penguin (Non-Classics); Bibliolis,110,3.9081633,61.77,Full Text Available,Beginner,https://openlibrary.org/works/OL118388W
Sci-Fi,William Leonard Marshall,1981,"Henry Holt & Co; Holt, Rinehart and Winston",202,,18.02,Full Text Available,Beginner,https://openlibrary.org/works/OL2725190W
Short Sci-Fi Stories,Dick Urban,2022,Faithful Life Publishers,330,,4.04,Metadata Only,Beginner,https://openlibrary.org/works/OL28573203W
Beyond Sci-Fi,Arthur Herzog,2007,"iUniverse, Inc.",172,,2.04,Metadata Only,Beginner,https://openlibrary.org/works/OL3070015W
Sci Fi Private Eye,Charles G. Waugh; Martin H. Greenberg; Isaac Asimov,1993,Dercum Audio; Roc,352,,18.12,Full Text Available,Beginner,https://openlibrary.org/works/OL15064688W
Sci-Fi Collection,Jack Karolewski,2020,"Lulu Press, Inc.; Independently Published",,,4.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29160930W
