title,authors,first_year,publishers,pages,rating,popularity,availability,level,url
R.U.R. and The insect play,Karel Čapek; Josef Čapek,1920,Independently published; Independently Published,108,3.75,47.22,Full Text Available,Beginner,https://openlibrary.org/works/OL575625W
Salomé,Oscar Wilde,1893,Grupo Oceano; Buckles,66,3.4,46.89,Full Text Available,Beginner,https://openlibrary.org/works/OL14877882W
Pygmalion,George Bernard Shaw,1912,El Universo; Viking Penguin,135,3.857143,51.92,Full Text Available,Beginner,https://openlibrary.org/works/OL1066524W
Sparkling Cyanide,Agatha Christie,1945,Scherz; Pocket Books/Simon & Schuster,240,3.9166667,50.09,Full Text Available,Beginner,https://openlibrary.org/works/OL471983W
A Doll's House,Henrik Ibsen,1889,Bloomsbury Publishing Plc; Cambridge University Press,112,4.0,50.24,Full Text Available,Beginner,https://openlibrary.org/works/OL16249343W
Murder in Three Acts,Agatha Christie,1934,Yuan liu; Scherz,233,3.8181818,52.18,Full Text Available,Beginner,https://openlibrary.org/works/OL471765W
The Secret Agent,Joseph Conrad,1907,Penguin (Non-Classics); B. Tauchnitz,272,4.08,53.87,Full Text Available,Beginner,https://openlibrary.org/works/OL39108W
The Moving Finger,Agatha Christie,1942,Scherz; Loewe,224,3.7272727,48.24,Full Text Available,Beginner,https://openlibrary.org/works/OL471905W
Elephants Can Remember,Agatha Christie,1969,Scherz; AudioGO Ltd.,224,4.090909,49.33,Full Text Available,Beginner,https://openlibrary.org/works/OL471776W
Οἰδίπους Τύραννος (Oidípous Týrannos),Sophocles,1715,Perrin; University of Massachusetts Press,110,3.40625,48.39,Full Text Available,Beginner,https://openlibrary.org/works/OL43861W
Peril at End House,Agatha Christie,1932,Bantam Books; AudioGO Ltd.,224,4.2222223,51.83,Full Text Available,Beginner,https://openlibrary.org/works/OL472165W
Hercule Poirot's Christmas,Agatha Christie,1939,Wydaw. Dolnośląskie; Bantam Books,221,4.25,52.46,Full Text Available,Beginner,https://openlibrary.org/works/OL471841W
On The Road,Jack Kerouac,1957,Penguin (Non-Classics); Shanghai yi wen chu ban she,310,3.5185184,60.7,Full Text Available,Beginner,https://openlibrary.org/works/OL65906W
The Tempest,William Shakespeare,1611,B. Tauchnitz; International Theatre Bookshop/Haagse Comedie,144,3.9649122,58.77,Full Text Available,Beginner,https://openlibrary.org/works/OL362699W
Hamlet,William Shakespeare,1603,Osterreichische Verlagsanstalt; Eldonisto,192,3.993671,77.55,Full Text Available,Beginner,https://openlibrary.org/works/OL9170454W
Macbeth,William Shakespeare,1508,Nassau Steam Press; Wydawnictwo GREG,139,3.9558823,71.78,Full Text Available,Beginner,https://openlibrary.org/works/OL258902W
The Mystery of the Blue Train,Agatha Christie,1928,Scherz; Sherz,257,4.0833335,55.89,Full Text Available,Beginner,https://openlibrary.org/works/OL471603W
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,B. Tauchnitz; 12th Media Services,451,4.105263,54.89,Full Text Available,Intermediate,https://openlibrary.org/works/OL152161W
Romeo and Juliet,William Shakespeare,1597,Cambridge University Press; Shanghai xiju xueyuan jiaoyu geming zu hanshou zu,171,3.6551723,76.65,Full Text Available,Beginner,https://openlibrary.org/works/OL362427W
Faust,Johann Wolfgang von Goethe,1800,Gos. izd-vo khydozh. lit-ry; Kossuth,306,4.0,53.98,Full Text Available,Beginner,https://openlibrary.org/works/OL52456W
Medea,Euripides,1703,Olms; Chanticleer press,123,3.75,47.08,Full Text Available,Beginner,https://openlibrary.org/works/OL66501W
Poetics,Aristotle; Leon Golden; O. B. Hardison,1536,Liberal Arts Press; Gwasg Prifysgol Cymru / University of Wales Press,129,3.857143,51.7,Full Text Available,Beginner,https://openlibrary.org/works/OL13703833W
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,1893,Quiet Vision Pub; HarperCollins Publishers Limited,259,4.478261,59.38,Full Text Available,Beginner,https://openlibrary.org/works/OL262463W
Inferno,Dante Alighieri,1767,BookSurge Classics; Picador,307,4.3333335,61.07,Full Text Available,Beginner,https://openlibrary.org/works/OL93227W
The Merchant of Venice,William Shakespeare,1600,Panamericana Editorial; B. Tauchnitz,152,4.056604,56.48,Full Text Available,Beginner,https://openlibrary.org/works/OL258758W
"The Alchemist, 1612",Ben Jonson,1612,Harlan Davidson; H. Holt,175,4.185185,57.67,Full Text Available,Beginner,https://openlibrary.org/works/OL1085186W
The Woman in White,Wilkie Collins,1860,HarperCollins Publishers Limited; Veen,573,4.05,53.62,Full Text Available,Intermediate,https://openlibrary.org/works/OL176045W
