title,subtitle,authors,publisher,publishedDate,pageCount,categories,language,isbn_10,isbn_13,avg_rating,ratings_count,previewLink,infoLink,popularity
Stephen King jde do kina,,Stephen King,Beta s.r.o.,,370,Fiction,cs,8075934555,9788075934550,,,http://books.google.cz/books?id=rMXHEAAAQBAJ&pg=PT98&dq=King&hl=&as_pt=BOOKS&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=rMXHEAAAQBAJ&source=gbs_api,13.7
Grace King,A Southern Destiny,Robert B. Bush,LSU Press,1999-03-01,340,Literary Criticism,en,0807124877,9780807124871,,,http://books.google.cz/books?id=PhzGQGSgRisC&pg=PR14&dq=King&hl=&as_pt=BOOKS&cd=2&source=gbs_api,http://books.google.cz/books?id=PhzGQGSgRisC&dq=King&hl=&as_pt=BOOKS&source=gbs_api,13.4
King Lear,A Study Commentary,H. S. Toshack,WordSmith,2004-06,209,Literary Criticism,en,0958005842,9780958005845,,,http://books.google.cz/books?id=gtTJkJ65L1MC&pg=PA1&dq=King&hl=&as_pt=BOOKS&cd=3&source=gbs_api,http://books.google.cz/books?id=gtTJkJ65L1MC&dq=King&hl=&as_pt=BOOKS&source=gbs_api,12.09
Teorie King Konga,,Virginie Despentes,Garamond,2024-01-01,129,Fiction,cs,8074076849,9788074076848,,,http://books.google.cz/books?id=saROEQAAQBAJ&pg=PA91&dq=King&hl=&as_pt=BOOKS&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=saROEQAAQBAJ&source=gbs_api,11.29
Blues Boy: The Life and Music of B. B. King,The Life and Music of B.B. King,Sebastian Danchin,Univ. Press of Mississippi,1998,218,,en,1604737263,9781604737264,,,http://books.google.cz/books?id=A_MX7evt8M4C&pg=RA1-PA2&dq=King&hl=&as_pt=BOOKS&cd=5&source=gbs_api,http://books.google.cz/books?id=A_MX7evt8M4C&dq=King&hl=&as_pt=BOOKS&source=gbs_api,2.18
King Snakes,,Linda George,Capstone,2002,54,Juvenile Nonfiction,en,0736809082,9780736809085,,,http://books.google.cz/books?id=v90aRn-RTXgC&pg=PA13&dq=King&hl=&as_pt=BOOKS&cd=6&source=gbs_api,http://books.google.cz/books?id=v90aRn-RTXgC&dq=King&hl=&as_pt=BOOKS&source=gbs_api,10.54
King’s Speech,Preaching Reconciliation in a World of Violence and Chasm,Sunggu A. Yang,Wipf and Stock Publishers,2019-05-23,95,Religion,en,1532650930,9781532650932,,,http://books.google.cz/books?id=pqShDwAAQBAJ&pg=PA124&dq=King&hl=&as_pt=BOOKS&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=pqShDwAAQBAJ&source=gbs_api,10.95
Morte Darthur Sir Thomas Maloryʼs Book of King Arthur and of His Noble Knights of the Round Table by Edward Strachey,,Thomas Malory,,1870,560,,en,,,,,http://books.google.cz/books?id=T0bIEScU2gMC&pg=PA38&dq=King&hl=&as_pt=BOOKS&cd=8&source=gbs_api,https://play.google.com/store/books/details?id=T0bIEScU2gMC&source=gbs_api,5.6
"Martin Luther King, Jr., and the Theology of Resistance",,"Rufus Burrow, Jr.",McFarland,2014-12-08,292,Biography & Autobiography,en,0786477865,9780786477869,,,http://books.google.cz/books?id=c1yQBQAAQBAJ&pg=PA251&dq=King&hl=&as_pt=BOOKS&cd=9&source=gbs_api,http://books.google.cz/books?id=c1yQBQAAQBAJ&dq=King&hl=&as_pt=BOOKS&source=gbs_api,12.92
"KING ARTHUR - Ultimate Collection: 10 Books of Myths, Tales & The History Behind The Legendary King",Exploring the Chivalric Legacy of a Legendary King,Howard Pyle; Richard Morris; James Knowles; T. W. Rolleston; Thomas Malory; Alfred Tennyson; Maude L. Radford,Good Press,2023-11-16,3196,Literary Criticism,en,,,,,http://books.google.cz/books?id=XRPmEAAAQBAJ&pg=PT88&dq=King&hl=&as_pt=BOOKS&cd=10&source=gbs_api,https://play.google.com/store/books/details?id=XRPmEAAAQBAJ&source=gbs_api,20
